Sample,Haplotype,SNPDistance,Titer
BA-H3,H57,25.04,3.38166116987421
BA-H4,H57,25.04,3.12618302274051
BA-H5,H57,25.04,3.86783141310101
BA-H8,H57,25.04,0
BA-H9,H57,25.04,0
CA-A1,H57,25.04,9.01873176371065
CA-A10,H57,25.04,5.00928281323954
CA-A11,H57,25.04,3.04951647056615
CA-A12,H57,25.04,8.6041402430037
CA-A3,H57,25.04,9.55658870220707
CA-A4,H57,25.04,10.0918647990731
CA-A5,H57,25.04,8.6839480974838
CA-A6,H57,25.04,7.69199897888035
CA-A7,H57,25.04,10.1342156284886
CA-A9,H57,25.04,9.33704592774091
CA-B1,H57,25.04,9.66903017811052
CA-B11,H57,25.04,3.97986032952731
CA-B12,H57,25.04,6.11639052223404
CA-B2,H57,25.04,10.2775935982397
CA-B3,H57,25.04,8.59953869178013
CA-B5,H57,25.04,9.04723146259214
CA-B6,H57,25.04,8.24765515587345
CA-B7,H57,25.04,10.1505459115899
CA-B9,H57,25.04,4.95381782212902
CA-C1,H57,25.04,9.04791073260957
CA-C11,H57,25.04,4.76715932892375
CA-C12,H57,25.04,7.20797604986869
CA-C2,H57,25.04,8.44508959377653
CA-C3,H57,25.04,9.70406220630462
CA-C4,H57,25.04,6.28216389113925
CA-C5,H57,25.04,3.8854324904599
CA-C8,H57,25.04,7.39347753330871
CA-D1,H57,25.04,5.4044762359367
CA-D11,H57,25.04,0
CA-D12,H57,25.04,3.16226987486259
CA-D2,H57,25.04,8.42549272873683
CA-D3,H57,25.04,4.0520483391997
CA-D6,H57,25.04,9.22194186366519
CA-D7,H57,25.04,7.73838192949253
CA-D8,H57,25.04,9.53810138295048
CA-E1,H57,25.04,7.01169223185511
CA-E10,H57,25.04,6.27309521858525
CA-E11,H57,25.04,3.45301896231527
CA-E12,H57,25.04,2.41567209731284
CA-E3,H57,25.04,8.21246357852865
CA-E4,H57,25.04,8.76499443568675
CA-E7,H57,25.04,9.26349551953892
CA-E8,H57,25.04,8.82439044544387
CA-F1,H57,25.04,6.72550089193225
CA-F3,H57,25.04,8.22405833284393
CA-F4,H57,25.04,5.69246128109998
CA-G1,H57,25.04,11.2145800742168
CA-G10,H57,25.04,6.93716919208698
CA-G11,H57,25.04,0
CA-G12,H57,25.04,7.97175695430492
CA-G2,H57,25.04,8.94671265969454
CA-G4,H57,25.04,6.57753700748959
CA-G5,H57,25.04,6.25997851716008
CA-G6,H57,25.04,9.61214759818403
CA-G7,H57,25.04,9.58430174101211
CA-G9,H57,25.04,9.61372855810763
CA-H1,H57,25.04,9.4843402942408
CA-H10,H57,25.04,7.90475324845013
CA-H11,H57,25.04,9.99238917313912
CA-H3,H57,25.04,8.43623609748565
CA-H4,H57,25.04,7.61584855806821
CA-H5,H57,25.04,8.42100223984631
CA-H6,H57,25.04,6.63558074075303
DA-A1,H57,25.04,10.2481382010181
DA-A10,H57,25.04,10.3218157913786
DA-A11,H57,25.04,9.86088822428527
DA-A12,H57,25.04,10.4304498569254
DA-A3,H57,25.04,7.24313819036113
DA-A4,H57,25.04,9.48388539812508
DA-A5,H57,25.04,9.71756054390504
DA-A6,H57,25.04,5.56929729398711
DA-A7,H57,25.04,3.19623066780951
DA-A8,H57,25.04,0
DA-A9,H57,25.04,10.3157172954894
DA-B1,H57,25.04,9.50758866686747
DA-B10,H57,25.04,3.41003230520126
DA-B11,H57,25.04,9.91897970207657
DA-B2,H57,25.04,8.44395338229991
DA-B3,H57,25.04,11.195166222014
DA-B5,H57,25.04,7.53544781222237
DA-B6,H57,25.04,10.1266138837021
DA-B7,H57,25.04,11.0510010468274
DA-B8,H57,25.04,10.3821375378293
DA-B9,H57,25.04,10.9799693244747
DA-C1,H57,25.04,7.43620527701987
